dsgdb9nsd_000067 124.59
dsgdb9nsd_000071 150.17
dsgdb9nsd_000074 171.95
dsgdb9nsd_000086 203.37
dsgdb9nsd_000147 123.76
dsgdb9nsd_000156 197.06
dsgdb9nsd_000164 160.2
dsgdb9nsd_000253 218.62
dsgdb9nsd_000281 218.12
dsgdb9nsd_000283 220.11
dsgdb9nsd_000330 164.35
dsgdb9nsd_000355 213.74
dsgdb9nsd_000402 207.16
dsgdb9nsd_000407 275.75
dsgdb9nsd_000413 288.87
dsgdb9nsd_000424 233.35
dsgdb9nsd_000444 231.48
dsgdb9nsd_000501 202.68
dsgdb9nsd_000566 314.86
dsgdb9nsd_000622 300.87
dsgdb9nsd_000670 257.51
dsgdb9nsd_000672 240.32
dsgdb9nsd_000697 255.63
dsgdb9nsd_000722 226.43
dsgdb9nsd_000757 230.98
dsgdb9nsd_000822 401.06
dsgdb9nsd_000874 416.1
dsgdb9nsd_000900 479.93
dsgdb9nsd_001064 394.65
dsgdb9nsd_001074 411.63
dsgdb9nsd_001198 373.49
dsgdb9nsd_001264 281.33
dsgdb9nsd_001288 416.17
dsgdb9nsd_001298 479.83
dsgdb9nsd_001359 615.43
dsgdb9nsd_001370 278.09
dsgdb9nsd_001405 335.89
dsgdb9nsd_001440 279.85
dsgdb9nsd_001447 354.95
dsgdb9nsd_001515 458.36
dsgdb9nsd_001554 354.91
dsgdb9nsd_001610 353.85
dsgdb9nsd_001625 492.31
dsgdb9nsd_001658 480.89
dsgdb9nsd_001688 552.97
dsgdb9nsd_001692 566.3
dsgdb9nsd_001709 345.43
dsgdb9nsd_001735 353.54
dsgdb9nsd_001747 500.01
dsgdb9nsd_001755 429.16
dsgdb9nsd_001766 374.12
dsgdb9nsd_001815 540.73
dsgdb9nsd_001846 390.28
dsgdb9nsd_001863 441.58
dsgdb9nsd_001882 412.82
dsgdb9nsd_002072 466.13
dsgdb9nsd_002079 415.35
dsgdb9nsd_002147 470.23
dsgdb9nsd_002254 376.67
dsgdb9nsd_002377 435.12
dsgdb9nsd_002494 242.26
dsgdb9nsd_002531 377.06
dsgdb9nsd_002604 435.36
dsgdb9nsd_002610 168.63
dsgdb9nsd_002618 228.56
dsgdb9nsd_002623 238.63
dsgdb9nsd_002631 263.72
dsgdb9nsd_002640 304.66
dsgdb9nsd_002656 266.49
dsgdb9nsd_002708 373.75
dsgdb9nsd_002789 412.22
dsgdb9nsd_002817 325.07
dsgdb9nsd_002818 302.96
dsgdb9nsd_002855 517.63
dsgdb9nsd_002893 400.82
dsgdb9nsd_002975 367.62
dsgdb9nsd_002993 450.51
dsgdb9nsd_003057 312.09
dsgdb9nsd_003179 436.8
dsgdb9nsd_003266 418.18
dsgdb9nsd_003285 361.74
dsgdb9nsd_003293 489.16
dsgdb9nsd_003311 399.03
dsgdb9nsd_003326 447.56
dsgdb9nsd_003366 542.9
dsgdb9nsd_003398 411.29
dsgdb9nsd_003424 395.67
dsgdb9nsd_003438 462.43
dsgdb9nsd_003444 478.38
dsgdb9nsd_003455 384.85
dsgdb9nsd_003486 482.02
dsgdb9nsd_003502 382.83
dsgdb9nsd_003558 443.64
dsgdb9nsd_003629 435.31
dsgdb9nsd_003641 329.56
dsgdb9nsd_003677 468.29
dsgdb9nsd_003696 428.84
dsgdb9nsd_003724 418.91
dsgdb9nsd_003736 412.27
dsgdb9nsd_003786 370.73
dsgdb9nsd_003803 350.43
dsgdb9nsd_003872 365.96
dsgdb9nsd_003962 351.56
dsgdb9nsd_004008 473.59
dsgdb9nsd_004036 644.62
dsgdb9nsd_004081 715.68
dsgdb9nsd_004096 860.41
dsgdb9nsd_004152 438.5
dsgdb9nsd_004168 624.95
dsgdb9nsd_004258 518.37
dsgdb9nsd_004288 528.77
dsgdb9nsd_004295 477.78
dsgdb9nsd_004300 580.7
dsgdb9nsd_004330 522.37
dsgdb9nsd_004372 660.74
dsgdb9nsd_004399 587.15
dsgdb9nsd_004422 576.58
dsgdb9nsd_004456 658.24
dsgdb9nsd_004510 653.2
dsgdb9nsd_004511 627.41
dsgdb9nsd_004575 735.07
dsgdb9nsd_004610 543.02
dsgdb9nsd_004615 568.96
dsgdb9nsd_004628 414.96
dsgdb9nsd_004642 505.41
dsgdb9nsd_004675 500.85
dsgdb9nsd_004696 493.71
dsgdb9nsd_004731 463.99
dsgdb9nsd_004787 609.44
dsgdb9nsd_004873 633.28
dsgdb9nsd_004878 549.65
dsgdb9nsd_004969 679.92
dsgdb9nsd_004986 632.8
dsgdb9nsd_005106 590.11
dsgdb9nsd_005118 753.63
dsgdb9nsd_005119 739.07
dsgdb9nsd_005179 475.37
dsgdb9nsd_005192 521.11
dsgdb9nsd_005227 612.74
dsgdb9nsd_005246 557.56
dsgdb9nsd_005290 542.17
dsgdb9nsd_005309 671.93
dsgdb9nsd_005420 497.39
dsgdb9nsd_005439 559.35
dsgdb9nsd_005445 476.56
dsgdb9nsd_005526 668.03
dsgdb9nsd_005536 618.55
dsgdb9nsd_005622 661.73
dsgdb9nsd_005670 586.48
dsgdb9nsd_005762 644.36
dsgdb9nsd_005847 913.18
